
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,0.00,1.00,3798357,0.93703,1.18815,1094.80
0.00000,2.00,4.00,0.00,1.00,3802143,0.75202,0.75058,1281.20
0.15439,2.00,4.00,0.00,1.00,3801830,0.94818,1.19339,1082.88
0.13351,2.00,4.00,0.00,1.00,3801830,0.94818,1.19339,1082.88
0.11959,2.00,4.00,0.00,1.00,3802105,0.94838,1.19502,1082.84
0.10909,2.00,4.00,0.00,1.00,3799871,0.94856,1.19741,1082.66
0.10066,2.00,4.00,0.00,1.00,3802076,0.95028,1.20211,1082.90
0.09335,2.00,4.00,0.00,1.00,3801682,0.94903,1.19454,1082.84
0.08726,2.00,4.00,0.00,1.00,3802860,0.95063,1.19503,1082.86
0.08174,2.00,4.00,0.00,1.00,3801405,0.94808,1.18770,1082.95
0.07711,2.00,4.00,0.00,1.00,3800353,0.94977,1.19551,1082.94
0.07277,2.00,4.00,0.00,1.00,3803162,0.95049,1.19901,1083.20
