
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,4.00,1.00,20.00,3798181,0.07545,0.00664,1023.91
0.00000,2.00,4.00,1.00,20.00,3799994,0.07315,0.00580,1017.12
0.78291,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
1.17432,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
1.43527,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
1.63098,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
1.78755,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
1.91802,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.02985,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.12771,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.21469,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.29297,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.36414,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.42937,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.48959,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.54551,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.59770,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.64663,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.69267,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.73617,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
2.77737,2.00,4.00,1.00,20.00,3800866,0.07322,0.00577,1011.81
