
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,9.00,14.22,1.00,3801476,0.15253,0.17242,1163.94
0.00000,2.00,9.00,14.22,1.00,3799788,0.10814,0.05524,1161.96
0.74791,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.10234,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.33863,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.51585,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.65762,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.77576,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.87703,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
1.96564,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.04440,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.11528,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.17973,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.23880,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.29333,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.34396,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.39122,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.43552,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.47722,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.51660,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
2.55391,2.00,9.00,14.22,1.00,3799879,0.14719,0.17942,1083.51
