
beta,macro_arrival,small_arrival,avg_idle_time,avg_setup_time,num_of_jobs,avg_resp_time,var_resp_time,avg_power
0.00000,2.00,1.00,0.00,1.00,3799287,0.73024,0.91364,956.31
0.00000,2.00,1.00,0.00,1.00,3801765,0.18969,0.06408,883.38
0.41031,2.00,1.00,0.00,1.00,3802081,0.18648,0.05239,878.76
0.61707,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
0.75488,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
0.85823,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
0.94092,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.00983,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.06889,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.12057,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.16650,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.20785,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.24543,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.27988,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.31169,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.34122,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.36878,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.39462,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.41894,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.44191,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
1.46367,2.00,1.00,0.00,1.00,3802087,0.18657,0.05253,878.72
