
=======================
2017-11-10 13:42:13
Macro cell arrival rate: 2
Macro cell idle power: 0.7 * busy power
Small cell arrival rate: 1
Small cell setup time  : 1.0
Small cell idle timer  : 0.0

----------------------
Macro_Small	Macro_Small	Macro_Small	Macro_Small	Macro_Small
[200165, 0]	[0, 99963]	[0, 100355]	[0, 100158]	[0, 99866]
[199661, 0]	[98314, 1509]	[98737, 1559]	[98157, 1602]	[98435, 1624]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
[199921, 0]	[99520, 1]	[99687, 1]	[100058, 1]	[100268, 1]
