[1333345, 0]	[0, 666645]	[0, 666877]	[0, 667144]	[0, 667531]
[1330324, 0]	[487542, 179590]	[486348, 178265]	[489578, 177735]	[490090, 177980]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
[1334769, 0]	[665866, 4]	[666666, 14]	[667084, 1]	[667200, 5]
